state,puma_description,msa_description,state_puma,state_msa
ca,Los Angeles County (Central)-Inglewood City PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03749,CA-31080
ca,Los Angeles County (S Central)-LA City (S Central/Westmont) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03750,CA-31080
ca,Los Angeles County (S Central)-LA City (S Central/Watts) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03751,CA-31080
ca,Los Angeles County (S)-S Gate+Lynwood Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03752,CA-31080
ca,Los Angeles County (S)-Downey City PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03753,CA-31080
ca,Los Angeles County (SE)-La Mirada+Santa Fe Springs Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03754,CA-31080
ca,Los Angeles County (SE)-Norwalk City PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03755,CA-31080
ca,Los Angeles County (SE)-Bellflower+Paramount Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03756,CA-31080
ca,Los Angeles County (S Central)-Compton City+W Rancho Dominguez PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03757,CA-31080
ca,Los Angeles County (S Central)-Gardena/Lawndale Cities+W Athens PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03758,CA-31080
ca,Los Angeles County (S Central)-Hawthorne City PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03759,CA-31080
ca,Los Angeles County-Redondo Beach/Manhattan Beach+Hermosa Beach Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03760,CA-31080
ca,Los Angeles County (S Central)-Torrance City PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03761,CA-31080
ca,Los Angeles County (S Central)-Carson City PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03762,CA-31080
ca,Los Angeles County (S Central)-Long Beach City (N) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03763,CA-31080
ca,Los Angeles County (S)-Lakewood/Cerritos/Artesia+Hawaiian Gardens Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03764,CA-31080
ca,Los Angeles County (SE)-Long Beach City (E) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03765,CA-31080
ca,Los Angeles County (S)-Long Beach City (SW+Port) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03766,CA-31080
ca,Los Angeles County (S)-LA City (South/San Pedro) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03767,CA-31080
ca,Los Angeles County (SW)-Palos Verdes Peninsula PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03768,CA-31080
ca,Los Angeles County (SE)-Long Beach (Central)+Signal Hill Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-03769,CA-31080
ca,,,CA-03800,CA-12540
ca,Madera County-Madera City PUMA,Madera/CA,CA-03900,CA-31460
ca,,,CA-03901,CA-12540
ca,,,CA-03901,CA-31080
ca,,,CA-03901,CA-47300
ca,,,CA-03902,CA-12540
ca,,,CA-03902,CA-31080
ca,,,CA-03903,CA-12540
ca,,,CA-04000,CA-40140
ca,,,CA-04100,CA-40140
ca,Marin County (N+W)-Novato+San Rafael (N) Cities PUMA,San Francisco-Oakland-Hayward/CA,CA-04101,CA-41860
ca,Marin County (SE)-San Rafael (S)/Mill Valley+Sausalito Cities PUMA,San Francisco-Oakland-Hayward/CA,CA-04102,CA-41860
ca,,,CA-04200,CA-40140
ca,,,CA-04300,CA-40140
ca,,,CA-04401,CA-31080
ca,,,CA-04401,CA-40140
ca,,,CA-04402,CA-31080
ca,,,CA-04402,CA-40140
ca,,,CA-04403,CA-40140
ca,,,CA-04404,CA-40140
ca,,,CA-04405,CA-40140
ca,,,CA-04406,CA-31080
ca,,,CA-04406,CA-40140
ca,,,CA-04407,CA-40140
ca,,,CA-04500,CA-31080
ca,,,CA-04600,CA-31080
ca,,,CA-04700,CA-31080
ca,Merced County (W+S)-Los Banos+Livingston Cities PUMA,Merced/CA,CA-04701,CA-32900
ca,Merced County (NE)-Merced+Atwater Cities PUMA,Merced/CA,CA-04702,CA-32900
ca,,,CA-04800,CA-31080
ca,,,CA-04900,CA-31080
ca,,,CA-05000,CA-31080
ca,,,CA-05100,CA-31080
ca,,,CA-05200,CA-31080
ca,,,CA-05200,CA-40140
ca,,,CA-05300,CA-31080
ca,Monterey County (N Central)-Seaside/Monterey/Marina+Pacific Grove Cities PUMA,Salinas/CA,CA-05301,CA-41500
ca,Monterey County (NE)-Salinas City PUMA,Salinas/CA,CA-05302,CA-41500
ca,Monterey (S+E)+San Benito Counties PUMA,Salinas/CA,CA-05303,CA-41500
ca,Monterey (S+E)+San Benito Counties PUMA,San Jose-Sunnyvale-Santa Clara/CA,CA-05303,CA-41940
ca,,,CA-05401,CA-31080
ca,,,CA-05402,CA-31080
ca,,,CA-05403,CA-31080
ca,,,CA-05404,CA-31080
ca,,,CA-05405,CA-31080
ca,,,CA-05406,CA-31080
ca,,,CA-05407,CA-31080
ca,,,CA-05408,CA-31080
ca,,,CA-05409,CA-31080
ca,,,CA-05410,CA-31080
ca,,,CA-05411,CA-31080
ca,,,CA-05412,CA-31080
ca,,,CA-05413,CA-31080
ca,,,CA-05414,CA-31080
ca,,,CA-05415,CA-31080
ca,,,CA-05416,CA-31080
ca,,,CA-05417,CA-31080
ca,,,CA-05418,CA-31080
ca,,,CA-05419,CA-31080
ca,,,CA-05420,CA-31080
ca,,,CA-05421,CA-31080
ca,,,CA-05422,CA-31080
ca,,,CA-05423,CA-31080
ca,,,CA-05424,CA-31080
ca,Napa County-Napa City PUMA,Napa/CA,CA-05500,CA-34900
ca,,,CA-05600,CA-31080
ca,,,CA-05700,CA-46020
ca,,,CA-05701,CA-31080
ca,,,CA-05702,CA-31080
ca,,,CA-05703,CA-31080
ca,,,CA-05800,CA-31080
ca,,,CA-05900,CA-31080
ca,Orange County (SW)-San Clemente/Laguna Niguel+San Juan Capistrano Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-05901,CA-31080
ca,Orange County (S Central)-Mission Viejo+Rancho Santa Margarita (W) Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-05902,CA-31080
ca,Orange County (W Central)-Newport Beach/Aliso Viejo+Laguna Hills Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-05903,CA-31080
ca,Orange County (Central)-Irvine City (Central) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-05904,CA-31080
ca,Orange County (NE)-Lake Forest/Irvine (N) Cities+Silverado PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-05905,CA-31080
ca,Orange County (N)-Yorba Linda/La Habra+Brea Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-05906,CA-31080
ca,Orange County (N Central)-Fullerton+Placentia Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-05907,CA-31080
ca,Orange County (NW)-Buena Park/Cypress+Seal Beach Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-05908,CA-31080
ca,Orange County (N Central)-Anaheim City (W) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-05909,CA-31080
ca,Orange County (N Central)-Anaheim City (E) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-05910,CA-31080
ca,Orange County (Central)-Orange+Villa Park Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-05911,CA-31080
ca,Orange County (NW)-Westminster/Stanton+Garden Grove (W) Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-05912,CA-31080
ca,Orange County (NW)-Garden Grove City (E) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-05913,CA-31080
ca,Orange County (NW)-Huntington Beach City PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-05914,CA-31080
ca,Orange County (SE)-Rancho Santa Margarita City (E)+Ladera Ranch PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-05915,CA-31080
ca,Orange County (Central)-Santa Ana City (W) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-05916,CA-31080
ca,Orange County (Central)-Santa Ana City (E) PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-05917,CA-31080
ca,Orange County (Central)-Costa Mesa+Fountain Valley Cities PUMA,Los Angeles-Long Beach-Anaheim/CA,CA-05918,CA-31080
ca,,,CA-06000,CA-31080
ca,Placer County (SW)-Roseville City PUMA,Sacramento-Roseville-Arden-Arcade/CA,CA-06101,CA-40900
ca,Placer County (Central)-Rocklin/Lincoln Cities+Loomis Town PUMA,Sacramento-Roseville-Arden-Arcade/CA,CA-06102,CA-40900
ca,Placer County (East/High Country Region)-Auburn+Colfax Cities PUMA,Sacramento-Roseville-Arden-Arcade/CA,CA-06103,CA-40900
ca,,,CA-06104,CA-31080
ca,,,CA-06105,CA-31080
ca,,,CA-06106,CA-31080
ca,,,CA-06107,CA-31080
ca,,,CA-06108,CA-31080
ca,,,CA-06109,CA-31080
ca,,,CA-06110,CA-31080
ca,,,CA-06111,CA-31080
ca,,,CA-06112,CA-31080
ca,,,CA-06113,CA-31080
ca,,,CA-06114,CA-31080
ca,,,CA-06115,CA-31080
ca,,,CA-06116,CA-31080
ca,,,CA-06117,CA-31080
ca,,,CA-06118,CA-31080
ca,,,CA-06119,CA-31080
ca,,,CA-06120,CA-31080
ca,,,CA-06121,CA-31080
ca,,,CA-06122,CA-31080
ca,,,CA-06123,CA-31080
ca,,,CA-06124,CA-31080
ca,,,CA-06125,CA-31080
ca,,,CA-06126,CA-31080
ca,,,CA-06126,CA-37100
ca,,,CA-06200,CA-37100
ca,,,CA-06300,CA-37100
ca,,,CA-06400,CA-37100
ca,,,CA-06500,CA-37100
ca,Riverside County (E)-Indio/Coachella/Blythe+La Quinta (E) Cities PUMA,Riverside-San Bernardino-Ontario/CA,CA-06501,CA-40140
ca,Riverside County (Central)-Cathedral City/Palm Springs+Rancho Mirage Cities PUMA,Riverside-San Bernardino-Ontario/CA,CA-06502,CA-40140
ca,Riverside County (SW)-Temecula City PUMA,Riverside-San Bernardino-Ontario/CA,CA-06503,CA-40140
ca,Riverside County (SW)-Murrieta+Wildomar Cities PUMA,Riverside-San Bernardino-Ontario/CA,CA-06504,CA-40140
ca,Riverside County (SW)-Menifee/Lake Elsinore+Canyon Lake Cities PUMA,Riverside-San Bernardino-Ontario/CA,CA-06505,CA-40140
ca,Riverside County (SW)-Hemet City+E Hemet PUMA,Riverside-San Bernardino-Ontario/CA,CA-06506,CA-40140
ca,Riverside County (N Central)-San Jacinto/Beaumont/Banning+Calimesa Cities PUMA,Riverside-San Bernardino-Ontario/CA,CA-06507,CA-40140
ca,Riverside County (NW)-Moreno Valley City PUMA,Riverside-San Bernardino-Ontario/CA,CA-06508,CA-40140
ca,Riverside County (W Central)-Perris City/Temescal Valley+Mead Valley PUMA,Riverside-San Bernardino-Ontario/CA,CA-06509,CA-40140
ca,Riverside County (NW)-Riverside City (E) PUMA,Riverside-San Bernardino-Ontario/CA,CA-06510,CA-40140
ca,Riverside County (NW)-Riverside City (W) PUMA,Riverside-San Bernardino-Ontario/CA,CA-06511,CA-40140
ca,Riverside County (W Central)-Corona City (S)/Woodcrest+Home Gardens PUMA,Riverside-San Bernardino-Ontario/CA,CA-06512,CA-40140
ca,Riverside County (W Central)-Corona (NW)+Norco Cities PUMA,Riverside-San Bernardino-Ontario/CA,CA-06513,CA-40140
ca,Riverside County (NW)-Jurupa Valley+Eastvale Cities PUMA,Riverside-San Bernardino-Ontario/CA,CA-06514,CA-40140
ca,Riverside County-Palm Desert/La Quinta (W)+Desert Hot Springs Cities PUMA,Riverside-San Bernardino-Ontario/CA,CA-06515,CA-40140
ca,,,CA-06601,CA-31080
ca,,,CA-06601,CA-42200
ca,,,CA-06601,CA-37100
ca,,,CA-06602,CA-31080
ca,,,CA-06602,CA-37100
ca,Sacramento County (N Central)-Citrus Heights City PUMA,Sacramento-Roseville-Arden-Arcade/CA,CA-06701,CA-40900
ca,Sacramento County (Central)-Rancho Cordova City PUMA,Sacramento-Roseville-Arden-Arcade/CA,CA-06702,CA-40900
ca,Sacramento County (N Central)-Arden-Arcade/Carmichael+Fair Oaks (W) PUMA,Sacramento-Roseville-Arden-Arcade/CA,CA-06703,CA-40900
ca,Sacramento County (N Central)-N Highlands/Foothill Farms+McClellan Park PUMA,Sacramento-Roseville-Arden-Arcade/CA,CA-06704,CA-40900
ca,Sacramento County (NW)-Sacramento City (NW/Natomas) PUMA,Sacramento-Roseville-Arden-Arcade/CA,CA-06705,CA-40900
ca,Sacramento County (N)-Sacramento City (N)/Antelope+Rio Linda PUMA,Sacramento-Roseville-Arden-Arcade/CA,CA-06706,CA-40900
ca,Sacramento County (W)-Sacramento City (Central/Downtown+Midtown) PUMA,Sacramento-Roseville-Arden-Arcade/CA,CA-06707,CA-40900
ca,Sacramento County-Sacramento City (SE/Fruitridge/Avondale+Depot Park) PUMA,Sacramento-Roseville-Arden-Arcade/CA,CA-06708,CA-40900
ca,Sacramento County-Sacramento City (SW/Pocket/Meadowview+N Laguna) PUMA,Sacramento-Roseville-Arden-Arcade/CA,CA-06709,CA-40900
ca,Sacramento County (Central)-Elk Grove City PUMA,Sacramento-Roseville-Arden-Arcade/CA,CA-06710,CA-40900
ca,Sacramento County (S)-Galt/Isleton Cities+Delta Region PUMA,Sacramento-Roseville-Arden-Arcade/CA,CA-06711,CA-40900
ca,Sacramento County (NE)-Folsom City/Orangevale+Fair Oaks (E) PUMA,Sacramento-Roseville-Arden-Arcade/CA,CA-06712,CA-40900
ca,,,CA-06801,CA-31080
ca,,,CA-06802,CA-31080
ca,,,CA-06900,CA-31080
ca,,,CA-07000,CA-31080
ca,,,CA-07100,CA-31080
ca,San Bernardino County (NE)-Twentynine Palms+Barstow Cities PUMA,Riverside-San Bernardino-Ontario/CA,CA-07101,CA-40140
ca,San Bernardino County (W Central)-Victorville+Adelanto Cities PUMA,Riverside-San Bernardino-Ontario/CA,CA-07102,CA-40140
ca,San Bernardino County (W Central)-Hesperia City+Apple Valley Town PUMA,Riverside-San Bernardino-Ontario/CA,CA-07103,CA-40140
ca,San Bernardino County (SW)-Phelan/Lake Arrowhead+Big Bear City PUMA,Riverside-San Bernardino-Ontario/CA,CA-07104,CA-40140
ca,San Bernardino County (SW)-Redlands+Yucaipa Cities PUMA,Riverside-San Bernardino-Ontario/CA,CA-07105,CA-40140
ca,San Bernardino County (SW)-Colton/Loma Linda+Grand Terrace Cities PUMA,Riverside-San Bernardino-Ontario/CA,CA-07106,CA-40140
ca,San Bernardino County (SW)-San Bernardino City (E) PUMA,Riverside-San Bernardino-Ontario/CA,CA-07107,CA-40140
ca,San Bernardino County (SW)-San Bernardino City (W) PUMA,Riverside-San Bernardino-Ontario/CA,CA-07108,CA-40140
ca,San Bernardino County (SW)-Rialto City PUMA,Riverside-San Bernardino-Ontario/CA,CA-07109,CA-40140
ca,San Bernardino County (SW)-Fontana City (E) PUMA,Riverside-San Bernardino-Ontario/CA,CA-07110,CA-40140
ca,San Bernardino County (SW)-Rancho Cucamonga City PUMA,Riverside-San Bernardino-Ontario/CA,CA-07111,CA-40140
ca,San Bernardino County (SW)-Upland+Montclair Cities PUMA,Riverside-San Bernardino-Ontario/CA,CA-07112,CA-40140
ca,San Bernardino County (SW)-Ontario City PUMA,Riverside-San Bernardino-Ontario/CA,CA-07113,CA-40140
ca,San Bernardino County (SW)-Chino+Chino Hills Cities PUMA,Riverside-San Bernardino-Ontario/CA,CA-07114,CA-40140
ca,San Bernardino County (SW)-Fontana City (W) PUMA,Riverside-San Bernardino-Ontario/CA,CA-07115,CA-40140
ca,,,CA-07200,CA-31080
ca,,,CA-07300,CA-31080
ca,San Diego County (NW)-Oceanside City+Camp Pendleton PUMA,San Diego-Carlsbad/CA,CA-07301,CA-41740
ca,San Diego County (N+E)-Fallbrook/Alpine+Valley Center PUMA,San Diego-Carlsbad/CA,CA-07302,CA-41740
ca,San Diego County (NW)-Vista City PUMA,San Diego-Carlsbad/CA,CA-07303,CA-41740
ca,San Diego County (NW)-Carlsbad City PUMA,San Diego-Carlsbad/CA,CA-07304,CA-41740
ca,San Diego County (NW)-San Marcos+Escondido (W) Cities PUMA,San Diego-Carlsbad/CA,CA-07305,CA-41740
ca,San Diego County (NW)-Escondido City (E) PUMA,San Diego-Carlsbad/CA,CA-07306,CA-41740
ca,San Diego County (Central)-Lakeside/Winter Gardens+Ramona PUMA,San Diego-Carlsbad/CA,CA-07307,CA-41740
ca,San Diego County (Central)-San Diego (NE/Rancho Bernardo)+Poway Cities PUMA,San Diego-Carlsbad/CA,CA-07308,CA-41740
ca,San Diego County (W)-San Diego (NW/San Dieguito)+Encinitas Cities PUMA,San Diego-Carlsbad/CA,CA-07309,CA-41740
ca,San Diego County (W)-San Diego City (SW/Central Coastal) PUMA,San Diego-Carlsbad/CA,CA-07310,CA-41740
ca,San Diego County (W Central)-San Diego City (NW/Del Mar Mesa) PUMA,San Diego-Carlsbad/CA,CA-07311,CA-41740
ca,San Diego County (Central)-San Diego City (Central/Mira Mesa+University Heights) PUMA,San Diego-Carlsbad/CA,CA-07312,CA-41740
ca,San Diego County (Central)-El Cajon+Santee Cities PUMA,San Diego-Carlsbad/CA,CA-07313,CA-41740
ca,San Diego County (Central)-San Diego (E Central/Navajo)+La Mesa Cities PUMA,San Diego-Carlsbad/CA,CA-07314,CA-41740
ca,San Diego County (W Central)-San Diego City (Central/Clairemont+Kearny Mesa) PUMA,San Diego-Carlsbad/CA,CA-07315,CA-41740
ca,San Diego County (S Central)-San Diego City (Central/Centre City+Balboa Park) PUMA,San Diego-Carlsbad/CA,CA-07316,CA-41740
ca,San Diego County (S Central)-San Diego City (Central/Mid-City) PUMA,San Diego-Carlsbad/CA,CA-07317,CA-41740
ca,San Diego County (S)-San Diego City (SE/Encanto+Skyline) PUMA,San Diego-Carlsbad/CA,CA-07318,CA-41740
ca,San Diego County (S Central)-Lemon Grove City/La Presa+Spring Valley PUMA,San Diego-Carlsbad/CA,CA-07319,CA-41740
ca,San Diego County (SW)-Sweetwater Region-Chula Vista City (E) PUMA,San Diego-Carlsbad/CA,CA-07320,CA-41740
ca,San Diego County (SW)-Chula Vista (W)+National City Cities PUMA,San Diego-Carlsbad/CA,CA-07321,CA-41740
ca,San Diego County (S)-San Diego City (South/Otay Mesa+S Bay) PUMA,San Diego-Carlsbad/CA,CA-07322,CA-41740
ca,,,CA-07400,CA-31080
ca,San Francisco County (N+W)-Richmond District PUMA,San Francisco-Oakland-Hayward/CA,CA-07501,CA-41860
ca,San Francisco County (N+E)-N Beach+Chinatown PUMA,San Francisco-Oakland-Hayward/CA,CA-07502,CA-41860
ca,San Francisco County (Central)-S of Market+Potrero PUMA,San Francisco-Oakland-Hayward/CA,CA-07503,CA-41860
ca,San Francisco County (Central)-Inner Mission+Castro PUMA,San Francisco-Oakland-Hayward/CA,CA-07504,CA-41860
ca,San Francisco County (Central)-Sunset District (N) PUMA,San Francisco-Oakland-Hayward/CA,CA-07505,CA-41860
ca,San Francisco County (S Central)-Sunset District (S) PUMA,San Francisco-Oakland-Hayward/CA,CA-07506,CA-41860
ca,San Francisco County (S Central)-Bayview+Hunters Point PUMA,San Francisco-Oakland-Hayward/CA,CA-07507,CA-41860
ca,,,CA-07601,CA-31080
ca,,,CA-07602,CA-31080
ca,,,CA-07603,CA-31080
ca,,,CA-07604,CA-31080
ca,,,CA-07605,CA-31080
ca,,,CA-07606,CA-31080
ca,,,CA-07607,CA-31080
ca,,,CA-07700,CA-40140
ca,San Joaquin County (Central)-Stockton City (N) PUMA,Stockton-Lodi/CA,CA-07701,CA-44700
ca,San Joaquin County (Central)-Stockton City (S) PUMA,Stockton-Lodi/CA,CA-07702,CA-44700
ca,San Joaquin County (S)-Tracy/Manteca+Lathrop Cities PUMA,Stockton-Lodi/CA,CA-07703,CA-44700
ca,San Joaquin County (N)-Lodi/Ripon+Escalon Cities PUMA,Stockton-Lodi/CA,CA-07704,CA-44700
ca,,,CA-07801,CA-40140
ca,,,CA-07802,CA-40140
ca,,,CA-07900,CA-40140
ca,San Luis Obispo County (W)-Coastal Region PUMA,San Luis Obispo-Paso Robles-Arroyo Grande/CA,CA-07901,CA-42020
ca,San Luis Obispo County (E)-Inland Region PUMA,San Luis Obispo-Paso Robles-Arroyo Grande/CA,CA-07902,CA-42020
ca,,,CA-08001,CA-40140
ca,,,CA-08002,CA-40140
ca,,,CA-08003,CA-40140
ca,,,CA-08004,CA-40140
ca,,,CA-08005,CA-40140
ca,San Mateo County (N Central)-Daly City/Pacifica Cities+Colma Town PUMA,San Francisco-Oakland-Hayward/CA,CA-08101,CA-41860
ca,San Mateo County (N Central)-S San Francisco/San Bruno+Brisbane Cities PUMA,San Francisco-Oakland-Hayward/CA,CA-08102,CA-41860
ca,San Mateo County (Central)-San Mateo (N)/Burlingame+Millbrae Cities PUMA,San Francisco-Oakland-Hayward/CA,CA-08103,CA-41860
ca,San Mateo County (S+W)-San Mateo (S)+Half Moon Bay Cities PUMA,San Francisco-Oakland-Hayward/CA,CA-08104,CA-41860
ca,San Mateo County (E Central)-Redwood City/San Carlos+Belmont Cities PUMA,San Francisco-Oakland-Hayward/CA,CA-08105,CA-41860
ca,San Mateo County (SE)-Menlo Park/E Palo Alto Cities+Atherton Town PUMA,San Francisco-Oakland-Hayward/CA,CA-08106,CA-41860
ca,,,CA-08107,CA-41740
ca,,,CA-08108,CA-41740
ca,,,CA-08109,CA-41740
ca,,,CA-08110,CA-41740
ca,,,CA-08111,CA-41740
ca,,,CA-08112,CA-41740
ca,,,CA-08113,CA-41740
ca,,,CA-08114,CA-41740
ca,,,CA-08115,CA-41740
ca,,,CA-08116,CA-41740
ca,,,CA-08200,CA-20940
ca,Santa Barbara County (NW)-Santa Maria City+Orcutt PUMA,Santa Maria-Santa Barbara/CA,CA-08301,CA-42200
ca,Santa Barbara County (N)-Lompoc/Guadalupe/Solvang+Buellton Cities PUMA,Santa Maria-Santa Barbara/CA,CA-08302,CA-42200
ca,Santa Barbara County-S Coast Region PUMA,Santa Maria-Santa Barbara/CA,CA-08303,CA-42200
ca,Santa Clara County (NW)-Mountain View/Palo Alto+Los Altos Cities PUMA,San Jose-Sunnyvale-Santa Clara/CA,CA-08501,CA-41940
ca,Santa Clara County (NW)-Sunnyvale+San Jose (N) Cities PUMA,San Jose-Sunnyvale-Santa Clara/CA,CA-08502,CA-41940
ca,Santa Clara County (NW)-San Jose (NW)+Santa Clara Cities PUMA,San Jose-Sunnyvale-Santa Clara/CA,CA-08503,CA-41940
ca,Santa Clara County (N Central)-Milpitas+San Jose (NE) Cities PUMA,San Jose-Sunnyvale-Santa Clara/CA,CA-08504,CA-41940
ca,Santa Clara County (N Central)-San Jose City (E Central)+Alum Rock PUMA,San Jose-Sunnyvale-Santa Clara/CA,CA-08505,CA-41940
ca,Santa Clara County (E)-Gilroy/Morgan Hill+San Jose (S) Cities PUMA,San Jose-Sunnyvale-Santa Clara/CA,CA-08506,CA-41940
ca,Santa Clara County (SW)-Cupertino/Saratoga Cities+Los Gatos Town PUMA,San Jose-Sunnyvale-Santa Clara/CA,CA-08507,CA-41940
ca,Santa Clara County (Central)-San Jose (W Central)+Campbell Cities PUMA,San Jose-Sunnyvale-Santa Clara/CA,CA-08508,CA-41940
ca,Santa Clara County (Central)-San Jose City (NW) PUMA,San Jose-Sunnyvale-Santa Clara/CA,CA-08509,CA-41940
ca,Santa Clara County (Central)-San Jose City (Central) PUMA,San Jose-Sunnyvale-Santa Clara/CA,CA-08510,CA-41940
ca,Santa Clara County (Central)-San Jose City (S Central/Branham)+Cambrian Park PUMA,San Jose-Sunnyvale-Santa Clara/CA,CA-08511,CA-41940
ca,Santa Clara County (Central)-San Jose City (SW/Almaden Valley) PUMA,San Jose-Sunnyvale-Santa Clara/CA,CA-08512,CA-41940
ca,Santa Clara County (Central)-San Jose City (SE/Evergreen) PUMA,San Jose-Sunnyvale-Santa Clara/CA,CA-08513,CA-41940
ca,Santa Clara County (Central)-San Jose City (E Central/E Valley) PUMA,San Jose-Sunnyvale-Santa Clara/CA,CA-08514,CA-41940
ca,Santa Cruz County (N)-Watsonville+Scotts Valley Cities PUMA,Santa Cruz-Watsonville/CA,CA-08701,CA-42100
ca,Santa Cruz County (S+Coastal)-Santa Cruz City PUMA,Santa Cruz-Watsonville/CA,CA-08702,CA-42100
ca,Shasta County-Redding City PUMA,Redding/CA,CA-08900,CA-39820
ca,Solano County (SW)-Vallejo+Benicia Cities PUMA,Vallejo-Fairfield/CA,CA-09501,CA-46700
ca,Solano County (Central)-Fairfield+Suisun City Cities PUMA,Vallejo-Fairfield/CA,CA-09502,CA-46700
ca,Solano County (NE)-Vacaville+Dixon Cities PUMA,Vallejo-Fairfield/CA,CA-09503,CA-46700
ca,Sonoma County (N)-Windsor Town/Healdsburg+Sonoma Cities PUMA,Santa Rosa/CA,CA-09701,CA-42220
ca,Sonoma County (S)-Petaluma/Rohnert Park+Cotati Cities PUMA,Santa Rosa/CA,CA-09702,CA-42220
ca,Sonoma County (Central)-Santa Rosa City PUMA,Santa Rosa/CA,CA-09703,CA-42220
ca,Stanislaus County (SW)-Ceres/Patterson+Newman Cities PUMA,Modesto/CA,CA-09901,CA-33700
ca,Stanislaus County (Central)-Modesto City (W) PUMA,Modesto/CA,CA-09902,CA-33700
ca,Stanislaus County (NE)-Turlock/Riverbank/Oakdale+Waterford Cities PUMA,Modesto/CA,CA-09903,CA-33700
ca,Stanislaus County (Central)-Modesto City (E) PUMA,Modesto/CA,CA-09904,CA-33700
ca,Sutter+Yuba Counties-Yuba City PUMA,Yuba City/CA,CA-10100,CA-49700
ca,Tulare County (NW)-Visalia City PUMA,Visalia-Porterville/CA,CA-10701,CA-47300
ca,Tulare County (W Central)-Tulare+Porterville Cities PUMA,Visalia-Porterville/CA,CA-10702,CA-47300
ca,Tulare County (Outside Visalia/Tulare+Porterville Cities) PUMA,Visalia-Porterville/CA,CA-10703,CA-47300
ca,Ventura County (SE)-Simi Valley City PUMA,Oxnard-Thousand Oaks-Ventura/CA,CA-11101,CA-37100
ca,Ventura County (SE)-Thousand Oaks City PUMA,Oxnard-Thousand Oaks-Ventura/CA,CA-11102,CA-37100
ca,Ventura County (SW)-Oxnard+Port Hueneme Cities PUMA,Oxnard-Thousand Oaks-Ventura/CA,CA-11103,CA-37100
ca,Ventura County (SW)-San Buenaventura (Ventura) City PUMA,Oxnard-Thousand Oaks-Ventura/CA,CA-11104,CA-37100
ca,Ventura County (N)-Santa Paula/Fillmore+Ojai Cities PUMA,Oxnard-Thousand Oaks-Ventura/CA,CA-11105,CA-37100
ca,Ventura County (S Central)-Camarillo+Moorpark Cities PUMA,Oxnard-Thousand Oaks-Ventura/CA,CA-11106,CA-37100
ca,Yolo County-Davis/Woodland+W Sacramento Cities PUMA,Sacramento-Roseville-Arden-Arcade/CA,CA-11300,CA-40900
co,NE Colorado-Eastern Plains Region PUMA,Denver-Aurora-Lakewood/CO,CO-00100,CO-19740
co,NE Colorado-Eastern Plains Region PUMA,Greeley/CO,CO-00100,CO-24540
